en,es
about,acerca de/sobre
beside,al lado de/junto a
near,cerca/cerca de
to,a/para/hasta/por/hacia
above,arriba/encima/encima de
between,entre/en medio de
of,de/a/para
towards,hacia/para
across,a través/a través de
beyond,más allá/más álla de
off,de
under,debajo/según/conforme a
after,después de/tras
by,por/de/en/con/a
on,en/sobre
underneath,debajo de/bajo
against,contra/en contra de
despite,a pesar de
onto,sobre
unlike,a diferencia de
along,a lo largo de/por
down,abajo de
opposite,frente a/enfrente de/contra
until,hasta
among,entre
during,durante
out,de/por/fuera de
up,encima de/en lo alto de
around,alrededor de/cerca de
except,excepto/salvo/menos
outside,fuera de/más allá de
upon,a/al/sobre/encima de
as,como/por/para
for,para/por/debido a
over,encima de/a través de
via,vía/por/a través de
at,a/en/de
from,de/desde/a partir de
past,más allá de/más de
with,con/de/al
before,ante/antes de/antes que
in,en/adentro/sobre/de cada
round,alrededor de
within,dentro/dentro de
behind,detrás de/tras
inside,dentro de/en el interior de
since,desde/desde entonces
without,sin
below,debajo de/inferior/abajo de
into,a/en/dentro de
beneath,bajo/debajo de
like,como/propio
through,por/a través de/mediante/por medio de/hasta
ahead of,antes de
except for,excepto por
instead of,en lugar de/en vez de
owing to,debido a
apart from,aparte de
in addition to,además de/encima de
near to,cerca de
such as,como/tal como
as for,para/como para
in front of,delante de/en frente de
on account of,a causa de
thanks to,gracias a
as well as,así como
in place of,en lugar de
on top of,encima de
up to,hasta
because of,debido a/a causa de
in spite of,a pesar de
out of,fuera de
due to,debido a/gracias a
inside of,dentro de
outside of,fuera de
